Family,english_name,three_species_model,scientific_name,subspecies,collection,include,number,date,sex,locality,elevation,region,bill_from_nostril,bill_width,bill_depth,tarsus,wing_chord,tail_length,comments
Alcedidae,Mountain Kingfisher,megarhyncha,Syma megarhyncha wellsi,wellsi,AMNH,y,302859,7/19/30,m,"Mt. Derimapa, Gebroeders",1525,,37.23,11.92,12.68,13.36,83,69,
Alcedidae,Mountain Kingfisher,megarhyncha,Syma megarhyncha wellsi,wellsi,AMNH,n,339958,2/4/39,m,"18 km SW Bernhard Camp, Lalenburg River, Netherlands NG",2150,,34.39,11.17,NA,12.7,86,77,Too much cotton for closed bill depth measurement
Alcedidae,Mountain Kingfisher,megarhyncha,Syma megarhyncha wellsi,wellsi,AMNH,y,339959,11/30/38,m,"Bele River, 18 km N Lake Habbema",2200,,35.49,11.61,12.15,15.4,88,66,
Alcedidae,Yellow-billed Kingfisher,ochracea,Syma torotoro ochracea,ochracea,AMNH,n,637503,5/31/1897,f,Fergusson Is,,,36.37,NA,11.56,12.56,81,65,
Alcedidae,Yellow-billed Kingfisher,ochracea,Syma torotoro ochracea,ochracea,AMNH,y,637505,6/13/1897,f,Fergusson Is,,,34.64,11.58,11.69,12.12,79,65,
Alcedidae,Yellow-billed Kingfisher,ochracea,Syma torotoro ochracea,ochracea,AMNH,y,637504,6/13/1897,f,Fergusson Is,,,35.8,11.5,11.62,13.33,80,64,
Alcedidae,Yellow-billed Kingfisher,ochracea,Syma torotoro ochracea,ochracea,AMNH,y,329542,1/18/29,f,Fergusson Is,,,36.08,11.53,10.97,11.68,80,66,Orange head
Alcedidae,Yellow-billed Kingfisher,ochracea,Syma torotoro ochracea,ochracea,AMNH,y,223562,11/15/28,m,Fergusson Is,,,37.13,11.48,12.02,12.14,82,66,
Alcedidae,Yellow-billed Kingfisher,ochracea,Syma torotoro ochracea,ochracea,AMNH,y,329544,12/20/28,m,Normanby Is,,,33.99,11.1,11.11,13.36,79,66,Dark crown
Alcedidae,Yellow-billed Kingfisher,ochracea,Syma torotoro ochracea,ochracea,AMNH,n,329540,1/4/29,m,Fergusson Is,,,36.38,10.9,NA,11.44,80,66,"Dark crown, too much cotton in bill"
Alcedidae,Yellow-billed Kingfisher,ochracea,Syma torotoro ochracea,ochracea,AMNH,y,329539,"jan, 1929",m,Fergusson Is,,,37.76,11.46,11.7,13.9,80,66,
Alcedidae,Yellow-billed Kingfisher,ochracea,Syma torotoro ochracea,ochracea,AMNH,y,637502,5/28/1897,m,Fergusson Is,,,36.62,11.6,11.79,12.37,80,65,
Alcedidae,Yellow-billed Kingfisher,ochracea,Syma torotoro ochracea,ochracea,AMNH,n,223566,11/15/28,f,Fergusson Is,,,35.24,11.63,NA,12.82,81,65,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro meeki,meeki,AMNH,y,637475,1/6/05,m,"Upper Aroa River, Brit NG",,,31.5,9.69,10.47,13.72,70,62,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro meeki,meeki,AMNH,y,637476,10/28/04,f,"Upper Aroa River, Brit NG",,,30.49,9.93,9.99,12.2,73,59,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro meeki,meeki,AMNH,y,419862,4/18/33,m,"Baroke, Bioto Creek",30,,32.56,10.31,10.76,13.62,71,58,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro meeki,meeki,AMNH,y,808985,7/14/65,f,Kermaul EHD,1100,,32.41,9.57,10.16,13.59,71,57,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro meeki,meeki,AMNH,y,419868,12/15/38,f,Kubuma CD,100,,30.21,9.85,10.23,13.3,72,60,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro meeki,meeki,AMNH,y,419865,4/12/33,f,"Baroka, Bioto Creek",30,,32.43,10.57,10.59,12.19,72,60,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro meeki,meeki,AMNH,y,637486,",1879",m,"Goldie Mtn., Brit NG",,,29.53,9.98,10.57,11.96,76,60,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro meeki,meeki,AMNH,y,637483,n/a,f,"Island of Hohieote Bay, Brit NG",,,33.15,10.16,11,10.77,78,61,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro meeki,meeki,AMNH,y,637471,8/22/1899,f,"Bimbang, NG",,,33.34,9.57,11.59,13,77,60,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro meeki,meeki,AMNH,y,637479,6/22/07,m,"Kumusi, NE Brit NG",,,31.86,10.27,10.72,12.42,72,56,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro pseudestes,pseudestes,AMNH,y,426109,9/24/36,f,"Lake Daniwubu, Upper Fly River",,,28.72,9.57,9.69,12.52,73,62,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro pseudestes,pseudestes,AMNH,y,426103,10/23/36,f,Fly River,,,30.8,8.92,9.48,13.02,71,57,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro pseudestes,pseudestes,AMNH,y,426102,10/22/36,f,Fly River,,,27.36,9.48,10.52,12.5,71,59,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro pseudestes,pseudestes,AMNH,y,426091,4/21/36,f,Mabaduane,,,30.74,9.88,10.3,11.83,72,60,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro pseudestes,pseudestes,AMNH,y,421889,1/30/34,m,"Wuroi - Oriano River, Brit Papua",,,31.81,9.96,10.18,11.84,71,60,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro pseudestes,pseudestes,AMNH,y,426104,8/21/36,m,"Lake Daviumbu, Upper Fly River",,,29.83,9.39,9.91,11.03,71,61,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro pseudestes,pseudestes,AMNH,y,426106,9/1/36,m,Lake Daviumbu,,,30.19,9.8,9.88,11.01,71,59,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro pseudestes,pseudestes,AMNH,y,426105,9/1/36,m,Lake Daviumbu,,,31.55,10.21,10.5,12.51,73,60,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro pseudestes,pseudestes,AMNH,y,426093,8/11/36,m,"30 mi above D'Albert's Gumetiam, Upper Fly River",,,31.69,10.11,10.44,12.25,68,59,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro pseudestes,pseudestes,AMNH,y,426089,5/31/36,m,5 mi below Palmer Junction,80,,32.71,10.27,11.38,11.97,73,60,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro torotoro,torotoro,AMNH,y,791070,3/9/59,m,"Maratambu, Adelbert Mts., NG",825,,31.8,10.22,10.94,14.7,77,65,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro torotoro,torotoro,AMNH,y,637469,9/26/10,m,Snow Mountain,610,,31.81,9.97,10.32,12.51,75,64,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro torotoro,torotoro,AMNH,y,637467,7/17/10,m,"Oetakwa River, Snow Mts.",,,33.28,10.87,10.85,14.88,70,60,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro torotoro,torotoro,AMNH,y,637468,10/29/10,m,Snow Mountains,915,,32.63,10.73,10.43,14.38,74,61,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro torotoro,torotoro,AMNH,y,339953,7/18/38,m,Hollandia,,,35.02,11.28,10.85,12.15,78,70,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro torotoro,torotoro,AMNH,y,829117,8/1/66,f,Mt. Menauo,1070,,35.55,11.37,12.79,13.33,80,64,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro torotoro,torotoro,AMNH,y,637440,n/a,f,"Andai, Dutch NG",,,34.92,10.82,11.23,11.27,79,54,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro torotoro,torotoro,AMNH,y,301859,8/14/31,f,Muleren Menuu,,,32.73,10.42,10.39,13.85,78,66,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro torotoro,torotoro,AMNH,y,637447,"apr, 1894",f,"Marai, Jobi",,,33.89,11.29,11.43,13.13,79,65,
Alcedidae,Yellow-billed Kingfisher,torotoro,Syma torotoro torotoro,torotoro,AMNH,y,637441,"jan, 1899",f,"Mt. Moari, Dutch NG Anfak Peninsula",,,36.61,11.76,11.8,12.8,81,67,
