"","label","x","y","plot_type","plot_num","species"
"1","toro",0,17724.5205880044,"path",0,"torotoro"
"2","toro",6160.69283811871,17724.5205880044,"path",0,"torotoro"
"3","toro",6354.2966752834,17724.5205880044,"path",0,"torotoro"
"4","toro",6553.98464076771,17724.5205880044,"path",0,"torotoro"
"5","toro",6759.9479323183,17724.5205880044,"path",0,"torotoro"
"6","toro",6972.38375619717,17724.5205880044,"path",0,"torotoro"
"7","toro",7191.49551600319,17724.5205880044,"path",0,"torotoro"
"8","toro",7417.49300742756,17724.5205880044,"path",0,"torotoro"
"9","toro",7650.59261912947,17724.5205880044,"path",0,"torotoro"
"10","toro",7891.01753992452,17724.5205880044,"path",0,"torotoro"
"11","toro",8138.99797248409,17724.5205880044,"path",0,"torotoro"
"12","toro",8394.77135375036,17724.5205880044,"path",0,"torotoro"
"13","toro",8658.58258227813,4285.46019081795,"path",0,"torotoro"
"14","toro",8930.68425272082,4285.46019081795,"path",0,"torotoro"
"15","toro",9211.33689768551,4285.46019081795,"path",0,"torotoro"
"16","toro",9500.80923718835,4285.46019081795,"path",0,"torotoro"
"17","toro",9799.3784359493,4285.46019081795,"path",0,"torotoro"
"18","toro",10107.3303687725,4285.46019081795,"path",0,"torotoro"
"19","toro",10424.9598942664,4285.46019081795,"path",0,"torotoro"
"20","toro",10752.5711371659,4285.46019081795,"path",0,"torotoro"
"21","toro",11090.4777795262,4285.46019081795,"path",0,"torotoro"
"22","toro",11439.003361068,4285.46019081795,"path",0,"torotoro"
"23","toro",11798.4815889615,5799.56628018948,"path",0,"torotoro"
"24","toro",12169.2566573444,5799.56628018948,"path",0,"torotoro"
"25","toro",12551.6835768828,5799.56628018948,"path",0,"torotoro"
"26","toro",12946.1285146868,5799.56628018948,"path",0,"torotoro"
"27","toro",13352.9691449098,5799.56628018948,"path",0,"torotoro"
"28","toro",13772.5950103646,5799.56628018948,"path",0,"torotoro"
"29","toro",14205.4078955037,5799.56628018948,"path",0,"torotoro"
"30","toro",14651.8222111213,5799.56628018948,"path",0,"torotoro"
"31","toro",15112.2653911442,5799.56628018948,"path",0,"torotoro"
"32","toro",15587.1783018924,5799.56628018948,"path",0,"torotoro"
"33","toro",16077.0156642009,5799.56628018948,"path",0,"torotoro"
"34","toro",16582.2464888067,9973.23415102342,"path",0,"torotoro"
"35","toro",17103.3545254191,9973.23415102342,"path",0,"torotoro"
"36","toro",17640.8387259007,9973.23415102342,"path",0,"torotoro"
"37","toro",18195.213722006,9973.23415102342,"path",0,"torotoro"
"38","toro",18767.0103181317,9973.23415102342,"path",0,"torotoro"
"39","toro",19356.7759995529,9973.23415102342,"path",0,"torotoro"
"40","toro",19965.0754566307,9973.23415102342,"path",0,"torotoro"
"41","toro",20592.4911254934,9973.23415102342,"path",0,"torotoro"
"42","toro",21239.6237457091,9973.23415102342,"path",0,"torotoro"
"43","toro",21907.0929354827,9973.23415102342,"path",0,"torotoro"
"44","toro",22595.5377849306,9973.23415102342,"path",0,"torotoro"
"45","toro",23305.6174679972,9973.23415102342,"path",0,"torotoro"
"46","toro",24038.0118736035,9973.23415102342,"path",0,"torotoro"
"47","toro",24793.4222566281,17150.4753883142,"path",0,"torotoro"
"48","toro",25572.5719093469,17150.4753883142,"path",0,"torotoro"
"49","toro",26376.206853973,17150.4753883142,"path",0,"torotoro"
"50","toro",27205.0965569594,17150.4753883142,"path",0,"torotoro"
"51","toro",28060.0346657504,17150.4753883142,"path",0,"torotoro"
"52","toro",28941.8397686846,17150.4753883142,"path",0,"torotoro"
"53","toro",29851.3561787795,17150.4753883142,"path",0,"torotoro"
"54","toro",30789.454742146,17150.4753883142,"path",0,"torotoro"
"55","toro",31757.0336718088,17150.4753883142,"path",0,"torotoro"
"56","toro",32755.0194077294,17150.4753883142,"path",0,"torotoro"
"57","toro",33784.3675038563,17150.4753883142,"path",0,"torotoro"
"58","toro",34846.0635430515,17150.4753883142,"path",0,"torotoro"
"59","toro",35941.1240807685,17150.4753883142,"path",0,"torotoro"
"60","toro",37070.5976183867,17150.4753883142,"path",0,"torotoro"
"61","toro",38235.5656071332,17150.4753883142,"path",0,"torotoro"
"62","toro",39437.1434835533,35238.824541896,"path",0,"torotoro"
"63","toro",40676.4817375218,35238.824541896,"path",0,"torotoro"
"64","toro",41954.7670138169,35238.824541896,"path",0,"torotoro"
"65","toro",43273.2232483118,35238.824541896,"path",0,"torotoro"
"66","toro",44633.112839872,35238.824541896,"path",0,"torotoro"
"67","toro",46035.7378590805,35238.824541896,"path",0,"torotoro"
"68","toro",47482.4412949473,35238.824541896,"path",0,"torotoro"
"69","toro",48974.6083407979,35238.824541896,"path",0,"torotoro"
"70","toro",50513.6677205725,35238.824541896,"path",0,"torotoro"
"71","toro",52101.0930568032,35238.824541896,"path",0,"torotoro"
"72","toro",53738.404281583,35238.824541896,"path",0,"torotoro"
"73","toro",55427.1690918732,35238.824541896,"path",0,"torotoro"
"74","toro",57169.0044505469,35238.824541896,"path",0,"torotoro"
"75","toro",58965.578134602,35238.824541896,"path",0,"torotoro"
"76","toro",60818.6103320293,35238.824541896,"path",0,"torotoro"
"77","toro",62729.8752888617,35238.824541896,"path",0,"torotoro"
"78","toro",64701.2030079848,35238.824541896,"path",0,"torotoro"
"79","toro",66734.4810013318,35238.824541896,"path",0,"torotoro"
"80","toro",68831.6560971442,113871.945010935,"path",0,"torotoro"
"81","toro",70994.7363040251,113871.945010935,"path",0,"torotoro"
"82","toro",73225.792733573,113871.945010935,"path",0,"torotoro"
