"sound.files","selec","start","end","sel.comment","rec.comment"
"syma_megarhyncha_164553_44k.wav",1,30.709702774267,32.3307281765143,"",""
"syma_megarhyncha_164553_44k.wav",2,32.954199485071,34.9493076724523,"",""
"syma_megarhyncha_164553_44k.wav",3,41.184020758019,43.1791289454003,"",""
"syma_megarhyncha_164553_44k.wav",4,43.802600253957,45.5483199179156,"",""
"syma_megarhyncha_164553_44k.wav",5,45.7977084413383,47.5434281052969,"",""
"syma_megarhyncha_164553_44k.wav",6,47.6681223670083,52.6558928354616,"",""
"syma_megarhyncha_164553_44k.wav",7,55.5238608548222,57.5189690422035,"",""
"syma_megarhyncha_164553_44k.wav",8,60.0128542764302,61.5091854169662,"",""
"syma_megarhyncha_164553_44k.wav",9,63.3795993426362,65.1253190065949,"",""
"syma_megarhyncha_164553_44k.wav",10,65.7487903151515,67.4945099791102,"",""
"syma_megarhyncha_164553_44k.wav",11,69.3649239047801,71.2353378304501,"",""
"syma_megarhyncha_164553_44k.wav",12,71.8588091390068,73.3551402795428,"",""
"syma_megarhyncha_164553_44k.wav",13,73.6045288029655,76.9712738691714,"",""
"syma_megarhyncha_166983_44k.wav",1,13.0667220769737,15.5228728433221,"",""
"syma_megarhyncha_166983_44k.wav",2,17.1320750695504,18.9106670038027,"",""
"syma_megarhyncha_166983_44k.wav",3,21.9596817482352,24.7546119306317,"",""
"syma_megarhyncha_166983_44k.wav",4,25.0086964926677,26.617898718896,"",""
"syma_megarhyncha_166983_44k.wav",5,30.1750825874006,34.8332995580615,"",""
"syma_megarhyncha_166983_44k.wav",6,34.9179944120735,42.7946158351909,"",""
"syma_megarhyncha_166991_44k.wav",1,6.57559578446371,13.667711709913,"",""
"syma_megarhyncha_167057_44k.wav",1,4.2576326371295,5.14095891039288,"",""
"syma_megarhyncha_167057_44k.wav",2,8.89509557176224,11.1034112549207,"",""
"syma_megarhyncha_167057_44k.wav",3,14.8575479162901,16.6242004628168,"",""
"syma_megarhyncha_167057_44k.wav",4,14.8575479162901,16.8450320311327,"",""
"syma_megarhyncha_167057_44k.wav",5,20.599168692502,22.5866528073446,"",""
"syma_megarhyncha_167057_44k.wav",6,26.1199579003982,28.3282735835566,"",""
"syma_megarhyncha_167057_44k.wav",7,32.5240733815577,34.0698943597686,"",""
"syma_megarhyncha_167057_44k.wav",8,37.6031994528221,39.3698519993489,"",""
"syma_megarhyncha_167057_44k.wav",9,44.2281465022975,46.2156306171401,"",""
"syma_megarhyncha_167057_44k.wav",10,49.7489357101936,52.1780829616679,"",""
"syma_megarhyncha_167057_44k.wav",11,56.8155458963006,59.0238615794591,"",""
"syma_megarhyncha_167057_44k.wav",12,64.9863139239869,66.9737980388295,"",""
"syma_megarhyncha_167057_44k.wav",13,64.7654823556711,67.1946296071453,"",""
"syma_megarhyncha_167057_44k.wav",14,70.7279347001989,72.4945872467256,"",""
"syma_megarhyncha_167057_44k.wav",15,75.8070607714633,78.0153764546218,"",""
"syma_megarhyncha_167057_44k.wav",16,81.1070184110436,82.8736709575703,"",""
"syma_megarhyncha_167057_44k.wav",17,85.9653129139922,88.3944601654665,"",""
"syma_megarhyncha_167057_44k.wav",18,93.2527546684151,95.2402387832577,"",""
"syma_megarhyncha_167057_44k.wav",19,98.5527123079953,100.761027991154,"",""
"syma_megarhyncha_167057_44k.wav",20,106.944311903997,108.93179601884,"",""
"syma_megarhyncha_167057_44k.wav",21,113.127595816841,115.3359115,"",""
"syma_megarhyncha_167057_44k.wav",22,119.310879729685,121.519195412843,"",""
"syma_megarhyncha_167057_44k.wav",23,126.598321484108,128.144142462319,"",""
"syma_megarhyncha_167057_44k.wav",24,132.33994226032,134.327426375162,"",""
"syma_megarhyncha_167057_44k.wav",25,136.977405194952,139.848215583058,"",""
"syma_megarhyncha_167057_44k.wav",26,144.485678517691,150.227299293903,"",""
"syma_megarhyncha_167059_44k.wav",1,7.08169591231586,9.18176748947639,"",""
"syma_megarhyncha_167059_44k.wav",2,11.4091161319194,13.4455491764387,"",""
"syma_megarhyncha_167059_44k.wav",3,16.8183914064238,22.6094978767755,"",""
"syma_megarhyncha_168367_44k.wav",1,5.64854878752453,9.06000760868686,"",""
"syma_megarhyncha_168367_44k.wav",2,12.8849765899901,17.9504760517159,"",""
"syma_megarhyncha_168367_44k.wav",3,30.3557808559426,35.2662140076156,"",""
"syma_megarhyncha_182638_44k.wav",1,7.59311276235805,9.12645540419126,"",""
"syma_megarhyncha_182638_44k.wav",2,15.6687173426796,17.4065056700906,"",""
"syma_megarhyncha_182638_44k.wav",3,22.1087564383791,24.0509904513678,"",""
"syma_megarhyncha_182638_44k.wav",4,28.3443498485008,29.9799153331229,"",""
"syma_megarhyncha_182638_44k.wav",5,33.5577148307337,35.1932803153558,"",""
"syma_megarhyncha_182638_44k.wav",6,38.5666341273889,40.0999767692221,"",""
"syma_megarhyncha_182638_44k.wav",7,43.6777762668329,45.313341751455,"",""
"syma_megarhyncha_182638_44k.wav",8,54.8200661308209,56.5578544582318,"",""
