"","PC1","PC2","PC3","PC4","PC5","PC6","Family","english_name","three_species_model","scientific_name","subspecies","collection","include","number","date","sex","locality","elevation","region","bill_from_nostril","bill_width","bill_depth","tarsus","wing_chord","tail_length","comments"
"17",-2.05132890083991,-1.48123696424014,-0.599357388099899,0.291833892713728,0.384437250308177,0.169030009676517,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637538","10/4/05","m","Aicora, Northern British NG","",NA,35.23,10.96,12.21,15.37,85,74,""
"18",-3.62862117877671,-0.425164048623945,-0.0206544264517896,-0.294711160061088,0.373040578092499,0.408020156435435,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637540","8/30/1898","m","Kotoi dish, Brit NG","1525",NA,39.06,12.01,13.12,15.26,86,74,""
"19",-3.04956033557787,-1.53017341480392,0.127766659416173,0.794759246389553,0.0593701802888994,0.433940464378328,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","637536","7/10/1898","f","Mt. Senatehley, Brit NG","",NA,35.65,11.29,13.42,16.03,87,73,""
"20",-3.16530968119241,0.306687075862356,0.244323729537365,0.0240386666673099,0.446067752900991,0.0821754709801997,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","419861","11/3/33","m","Mafulu CD","1250",NA,38.98,11.96,13.06,14.41,87,70,""
"21",-2.71686791253471,-0.211334755271055,0.862788004583004,-0.260880357233956,0.586778810875469,-0.03767360515563,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","829547","5/31/29","m","Yule Is","",NA,38.85,11.76,12.71,15.17,85,67,""
"23",-1.73573165306725,0.746436712850027,-1.280051886181,0.380447810581175,0.409838412627151,0.616824584427302,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha megarhyncha","megarhyncha","AMNH","y","419860","10/28/33","m","Mafulu CD","1250",NA,36.71,11.17,12.51,12.51,84,74,""
"24",-0.651737487053946,-1.05735011571142,-0.826673297161306,0.00848635237203213,0.00317222616190821,0.286065281306652,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha wellsi","wellsi","AMNH","y","301863","10/17/31","f","Weylandgeb Kumupi","",NA,33.63,10.81,11.58,14.31,80,72,""
"25",-1.91007249994788,-0.633778623904173,-0.582094477253898,-0.677058657016603,0.317056306730889,-0.468408945899128,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha wellsi","wellsi","AMNH","y","302860","7/14/30","f","Mt. Derimapa Gebroeders, Weyland Range, Dutch NG","1220",NA,36.61,11.7,11.38,14.69,84,72,""
"26",-2.82979713185601,-0.372001165062904,-2.98021866568871,-0.316072746156448,-0.213552597747947,0.0254307385859862,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha wellsi","wellsi","AMNH","y","301862","10/17/31","m","Weylandgeb Kumupi","",NA,35.47,12,11.7,13.42,87,85,""
"27",-1.15289476041033,-1.7924277838501,-0.472950578832761,0.517237066569307,0.405857268858487,-0.310625987083912,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha wellsi","wellsi","AMNH","y","301861","10/5/31","m","Weylandgeb Kumupi","",NA,33.57,10.59,11.61,15.41,85,71,""
"28",-1.16795528320912,-0.239485150009077,0.625517227107758,0.473682865720639,0.276735497425707,-0.276540778923967,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha wellsi","wellsi","AMNH","y","301860","10/5/31","m","Weylandgeb Kumupi","",NA,35.45,11.12,12.25,14.34,84,64,""
"29",-1.67978431302,1.71418148379086,-0.354809459168184,0.265694556524729,-0.23125511775858,-0.227984902327694,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha wellsi","wellsi","AMNH","y","339957","2/21/39","m","10 KM SW Bernhard Camp, I clen burg River","1500",NA,36.69,12.09,12.52,12.01,85,67,""
"30",-2.05383799531902,0.735613745731389,-0.0843694073833881,-0.0900249144076979,-0.0737969461970213,0.234856582608917,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha wellsi","wellsi","AMNH","y","302859","7/19/30","m","Mt. Derimapa, Gebroeders","1525",NA,37.23,11.92,12.68,13.36,83,69,""
"32",-2.10000108029705,-0.870670492352366,0.57021583779649,0.382182443687223,0.141941984385319,-0.914850712705499,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha wellsi","wellsi","AMNH","y","339959","11/30/38","m","Bele River, 18 km N Lake Habbema","2200",NA,35.49,11.61,12.15,15.4,88,66,""
"34",-0.149695104752137,1.1377719028572,-0.297002635137631,-0.122605881776194,-0.423130686508563,-0.0634795932994497,"Alcedidae","Yellow-billed Kingfisher","ochracea","Syma torotoro ochracea","ochracea","AMNH","y","637505","6/13/1897","f","Fergusson Is","",NA,34.64,11.58,11.69,12.12,79,65,""
"35",-0.576513101361202,0.492600988319154,0.276193113269574,-0.349476881741494,0.0224030940442743,-0.243918958971439,"Alcedidae","Yellow-billed Kingfisher","ochracea","Syma torotoro ochracea","ochracea","AMNH","y","637504","6/13/1897","f","Fergusson Is","",NA,35.8,11.5,11.62,13.33,80,64,""
"36",-0.093830626875286,1.4651760527668,-0.727697560335101,-0.55780998559266,0.179944057035148,-0.402004217005626,"Alcedidae","Yellow-billed Kingfisher","ochracea","Syma torotoro ochracea","ochracea","AMNH","y","329542","1/18/29","f","Fergusson Is","",NA,36.08,11.53,10.97,11.68,80,66,"Orange head"
"37",-0.954038244157295,1.44160299359417,-0.244053335081806,-0.0461854413863412,0.329169375681231,0.0222666893274662,"Alcedidae","Yellow-billed Kingfisher","ochracea","Syma torotoro ochracea","ochracea","AMNH","y","223562","11/15/28","m","Fergusson Is","",NA,37.13,11.48,12.02,12.14,82,66,""
"38",0.0662348937194663,-0.0691896812751255,-0.304294958602804,-0.257280515024056,-0.0577750203376716,-0.258624293817738,"Alcedidae","Yellow-billed Kingfisher","ochracea","Syma torotoro ochracea","ochracea","AMNH","y","329544","12/20/28","m","Normanby Is","",NA,33.99,11.1,11.11,13.36,79,66,"Dark crown"
"40",-1.18046576686064,0.271684258679659,0.331364160991275,-0.738216311315778,0.529141614879337,0.0200266145708801,"Alcedidae","Yellow-billed Kingfisher","ochracea","Syma torotoro ochracea","ochracea","AMNH","y","329539","jan, 1929","m","Fergusson Is","",NA,37.76,11.46,11.7,13.9,80,66,""
"41",-0.661713042379874,1.25800623056046,-0.0631967846083086,-0.343512861118516,0.0843069745296884,-0.0256635975536493,"Alcedidae","Yellow-billed Kingfisher","ochracea","Syma torotoro ochracea","ochracea","AMNH","y","637502","5/28/1897","m","Fergusson Is","",NA,36.62,11.6,11.79,12.37,80,65,""
"43",2.3570803287773,-1.06326889247718,0.170599936431119,-0.317129424420522,0.149680128912325,0.541169476771677,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","637475","1/6/05","m","Upper Aroa River, Brit NG","",NA,31.5,9.69,10.47,13.72,70,62,""
"44",2.93451653475067,-0.00156325846951044,-0.159763454138193,0.0689781186110654,-0.0552582595124363,-0.323119344115864,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","637476","10/28/04","f","Upper Aroa River, Brit NG","",NA,30.49,9.93,9.99,12.2,73,59,""
"45",1.97007950805558,-0.420025398376438,0.92076437789452,-0.447306591402868,-0.0645759605685573,0.188736503357948,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","419862","4/18/33","m","Baroke, Bioto Creek","30",NA,32.56,10.31,10.76,13.62,71,58,""
"46",2.69317318225364,-0.698080813088613,0.811865764345011,-0.325245580906834,0.604224409037638,0.0598875436260914,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","808985","7/14/65","f","Kermaul EHD","1100",NA,32.41,9.57,10.16,13.59,71,57,""
"47",2.66136581279316,-0.82541200848699,0.120049985496056,0.00136498388541743,-0.146326359062243,-0.0577504068467639,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","419868","12/15/38","f","Kubuma CD","100",NA,30.21,9.85,10.23,13.3,72,60,""
"48",2.06589825173394,0.5002267214167,0.0911192682640223,-0.393351943169688,-0.247921462930478,0.0662559803967122,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","419865","4/12/33","f","Baroka, Bioto Creek","30",NA,32.43,10.57,10.59,12.19,72,60,""
"49",2.5664535255088,0.107000700482498,-0.364297741784344,0.799896113679443,-0.345046077105759,-0.341175564095931,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","637486",",1879","m","Goldie Mtn., Brit NG","",NA,29.53,9.98,10.57,11.96,76,60,""
"50",1.77719997112921,1.47370216494357,-0.538746562867965,0.664506683783313,0.379784581005338,-0.0573952743457875,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","637483","n/a","f","Island of Hohieote Bay, Brit NG","",NA,33.15,10.16,11,10.77,78,61,""
"51",1.3959845260196,-0.0713856826800259,0.506180873899145,0.841405416268914,0.740917657173027,0.448569629410402,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","637471","8/22/1899","f","Bimbang, NG","",NA,33.34,9.57,11.59,13,77,60,""
