"","value","parameter"
"188",370343.066009252,"nMeg"
"189",362917.485516323,"nMeg"
"190",364919.509910949,"nMeg"
"191",378060.674309636,"nMeg"
"192",364109.700057649,"nMeg"
"193",372371.739624617,"nMeg"
"194",364725.569454711,"nMeg"
"195",369014.673408489,"nMeg"
"196",362334.06681641,"nMeg"
"197",373992.53817691,"nMeg"
"198",367115.504972026,"nMeg"
"199",358905.570184208,"nMeg"
"200",406170.278389462,"nMeg"
