,sound.files,selec,start,end
92,syma_megarhyncha_20990_44k.wav,16,108.8812438,115.101245
93,syma_megarhyncha_20990_44k.wav,17,115.632016,116.7573904
94,syma_megarhyncha_20990_44k.wav,18,116.9594086,117.9378894
95,syma_megarhyncha_20990_44k.wav,19,118.3833317,119.3579124
96,syma_megarhyncha_79827_44k.wav,1,4.58360849,5.942702365
97,syma_megarhyncha_79827_44k.wav,2,6.784358253,11.41948605
98,syma_megarhyncha_79827_44k.wav,3,11.43962212,12.07084703
99,syma_megarhyncha_79830_44k.wav,1,6.94876481,11.13947498
100,syma_torotoro_141993_44k.wav,1,2.449410899,3.947166287
101,syma_torotoro_141993_44k.wav,2,8.457597988,10.03961643
102,syma_torotoro_141993_44k.wav,3,14.84374433,16.44905076
103,syma_torotoro_141993_44k.wav,4,21.99526497,23.67079817
104,syma_torotoro_141993_44k.wav,5,29.40567455,31.06211478
105,syma_torotoro_141993_44k.wav,6,36.22746724,37.85445168
106,syma_torotoro_141993_44k.wav,7,43.0437724,44.64857996
107,syma_torotoro_141993_44k.wav,8,49.05023613,50.71681241
108,syma_torotoro_141993_44k.wav,9,55.54395619,57.37570257
109,syma_torotoro_141993_44k.wav,10,66.88035291,68.45205389
110,syma_torotoro_141993_44k.wav,11,76.03343856,77.82253187
111,syma_torotoro_141993_44k.wav,12,81.9682923,87.67854283
112,syma_torotoro_142010_44k.wav,1,3.994558156,4.905918777
113,syma_torotoro_142010_44k.wav,2,8.192132203,9.281814833
114,syma_torotoro_142010_44k.wav,3,13.44113491,14.81730282
115,syma_torotoro_142010_44k.wav,4,19.63496762,20.39031916
116,syma_torotoro_142010_44k.wav,5,24.05782514,25.15213362
117,syma_torotoro_142010_44k.wav,6,28.44973026,29.95870998
118,syma_torotoro_142010_44k.wav,7,34.05367631,35.15515032
119,syma_torotoro_142010_44k.wav,8,40.53619386,41.28821206
120,syma_torotoro_142010_44k.wav,9,45.89052537,47.27066154
121,syma_torotoro_142010_44k.wav,10,47.52667063,48.02789516
122,syma_torotoro_142010_44k.wav,11,50.07875701,51.9765803
123,syma_torotoro_142010_44k.wav,12,52.41710188,53.10104751
124,syma_torotoro_142010_44k.wav,13,55.34088897,56.44379156
125,syma_torotoro_142010_44k.wav,14,60.01707984,61.10209126
126,syma_torotoro_142010_44k.wav,15,65.18145668,66.30084453
127,syma_torotoro_142010_44k.wav,16,70.26705802,70.92748891
128,syma_torotoro_142010_44k.wav,17,75.18422396,75.97628752
129,syma_torotoro_142010_44k.wav,18,80.18227426,81.29311336
130,syma_torotoro_142010_44k.wav,19,85.14914542,86.6929324
131,syma_torotoro_142010_44k.wav,20,89.65975805,90.70236584
132,syma_torotoro_142010_44k.wav,21,95.14148186,96.26994
133,syma_torotoro_142010_44k.wav,22,99.48771805,100.5478315
