"","PC1","PC2","PC3","X","sound.files","selec","duration","meanfreq","sd","median","Q25","Q75","IQR","skew","kurt","sp.ent","sfm","mode","centroid","meanfun","minfun","maxfun","meandom","mindom","maxdom","dfrange","modindx","startdom","enddom","dfslope","two_species"
"1",4.34660208177689,2.95213168206366,-2.88010513541984,1,"syma_megarhyncha_164553_44k.wav",1,0.692131698,1.879134471,0.566374803,1.940751445,1.307803468,2.393063584,1.085260116,4.466391203,40.06094555,0.950193985,0.693733866,2.439306358,1.879134471,1.539235574,0.172941176,2.94,1.846745895,0.947460938,2.497851563,1.550390625,0.38697318,1.119726563,0.947460938,-0.248891397,"megarhyncha"
"2",6.5948143579303,3.68848766239109,-1.32981059652867,2,"syma_megarhyncha_164553_44k.wav",2,0.549660006,1.756824418,0.509765611,1.802547771,1.258416742,2.150136488,0.891719745,1.564367129,5.906352593,0.949865163,0.654484314,1.029117379,1.756824418,1.098108819,0.173622047,2.94,1.279163896,0.947460938,2.325585938,1.378125,0.339673913,0.947460938,0.947460938,0,"megarhyncha"
"3",6.50100079814102,-2.78432781424788,-2.94276428390258,3,"syma_megarhyncha_166983_44k.wav",1,1.063129655,1.63451509,0.393483687,1.442144873,1.369708373,1.891815616,0.522107244,5.367653924,38.73092037,0.862663906,0.384313157,1.3565381,1.63451509,1.162139272,0.1743083,2.321052632,1.51726262,1.291992188,1.981054688,0.6890625,0.220833333,1.378125,1.808789063,0.405090819,"megarhyncha"
"4",4.53180918447909,-3.70752962660901,-1.06511188526835,4,"syma_megarhyncha_166983_44k.wav",2,0.624149897,1.733385638,0.254604568,1.756410256,1.633012821,1.831730769,0.198717949,3.621697221,18.39821757,0.824786652,0.243456065,1.780448718,1.733385638,1.578911247,0.182987552,2.205,1.719405955,1.291992188,1.894921875,0.602929688,0.145604396,1.378125,1.808789063,0.690001016,"megarhyncha"
"5",1.60225558442566,0.296292346151886,-0.281052610959531,5,"syma_megarhyncha_166983_44k.wav",4,1.885488243,2.030163661,0.365327985,2.152254642,1.75862069,2.283819629,0.525198939,3.739458568,21.7061065,0.91390643,0.455105115,2.271618037,2.030163661,1.71040686,0.175697211,2.75625,2.100683594,1.119726563,2.41171875,1.291992188,0.144927536,2.153320313,1.636523438,-0.274091804,"megarhyncha"
"6",2.2594656178692,1.19081429444433,0.843628644250545,6,"syma_megarhyncha_166983_44k.wav",6,4.019956173,1.881444618,0.364506352,1.915785545,1.585396194,2.15387486,0.568478667,2.031309672,8.074859179,0.932320745,0.421272211,2.155865157,1.881444618,1.820253838,0.173622047,2.75625,2.037563787,1.119726563,2.41171875,1.291992188,0.07884058,2.239453125,1.72265625,-0.128557838,"megarhyncha"
"7",0.556553098986782,0.714669182641961,0.64963238935535,7,"syma_megarhyncha_166983_44k.wav",7,7.532814648,2.009336488,0.328540541,2.044805841,1.846996349,2.150215732,0.303219383,3.176719151,16.12166547,0.925491485,0.483059185,2.118486558,2.009336488,1.866664414,0.172941176,2.94,2.097094727,1.636523438,2.928515625,1.291992188,0.084801649,2.239453125,1.808789063,-0.057171732,"megarhyncha"
"8",1.8342067590538,-1.07038193720124,0.713595305818533,8,"syma_megarhyncha_166991_44k.wav",1,7.08261111,1.905556094,0.243646886,1.932580304,1.762301447,2.03000353,0.267702083,3.083787437,14.85043502,0.896134136,0.273707522,1.937804448,1.905556094,1.858808016,0.17854251,2.94,1.934175845,1.464257813,2.41171875,0.947460938,0.10031348,1.636523438,1.636523438,0,"megarhyncha"
"9",4.86158480909791,-0.935915232356477,-1.08205862337705,9,"syma_megarhyncha_167057_44k.wav",1,0.610226846,1.816210109,0.464234161,1.906557377,1.529508197,2.050819672,0.521311475,5.143447262,48.05888569,0.907248194,0.523983295,1.109836066,1.816210109,1.596533534,0.190909091,2.594117647,1.601739032,1.03359375,2.239453125,1.205859375,0.203081232,2.239453125,1.119726563,-1.834934942,"megarhyncha"
"10",1.10794539010307,-0.971375773978954,-0.72591874758663,10,"syma_megarhyncha_167057_44k.wav",11,1.710839251,2.017362111,0.358073791,2.130663549,1.817304882,2.265127156,0.447822274,3.443583738,17.6830215,0.904224589,0.41626042,2.252265419,2.017362111,2.107335425,0.273913043,2.594117647,2.057226563,1.464257813,2.325585938,0.861328125,0.121232877,1.464257813,1.72265625,0.15103607,"megarhyncha"
"11",0.958867805086459,3.90531658165524,-0.139253492516792,11,"syma_megarhyncha_167057_44k.wav",24,0.543197358,2.212884301,0.586202195,2.438305709,1.935543278,2.644567219,0.709023941,2.538919717,13.48643079,0.936666335,0.619035554,1.05893186,2.212884301,1.904274281,0.187659574,2.594117647,2.16642748,0.947460938,2.928515625,1.981054688,0.274396135,2.842382813,1.808789063,-1.902795982,"megarhyncha"
"12",0.34111202904476,1.2332287088506,0.962137891564109,12,"syma_megarhyncha_167057_44k.wav",29,1.619773478,2.119082868,0.478923579,2.22012967,1.959555418,2.352886693,0.393331275,3.476647958,18.26551746,0.926128427,0.538827487,2.220747144,2.119082868,2.123296364,0.242307692,2.75625,2.032486511,1.03359375,2.75625,1.72265625,0.101086957,1.981054688,1.72265625,-0.159527515,"megarhyncha"
"13",-0.47857910659592,0.915615904185653,0.852733204768084,13,"syma_megarhyncha_167057_44k.wav",33,2.266462915,2.071235057,0.420182539,2.208737864,1.955869373,2.304501324,0.348631951,3.703886054,19.71379361,0.907947394,0.445600278,2.27890556,2.071235057,2.106736956,0.207042254,2.75625,2.147578125,0.947460938,2.928515625,1.981054688,0.100179292,2.842382813,2.928515625,0.038003186,"megarhyncha"
"14",0.786779302877929,-0.9036783996965,0.320988568161669,14,"syma_megarhyncha_167059_44k.wav",2,1.839275305,2.093430677,0.297200823,2.142468733,1.957585644,2.278955954,0.32137031,3.494678873,19.10647918,0.885377024,0.34195597,2.28983143,2.093430677,2.055026501,0.172941176,2.594117647,2.079725821,1.119726563,2.41171875,1.291992188,0.089171975,1.894921875,1.894921875,0,"megarhyncha"
"15",0.31111559632477,1.25136954553332,2.26278474757746,15,"syma_megarhyncha_167059_44k.wav",3,5.490728395,2.101524214,0.396834023,2.042710136,1.899553775,2.169838812,0.270285038,2.739586446,11.868288,0.905062382,0.34778573,2.872324925,2.101524214,1.882499829,0.1764,2.75625,2.048756538,0.947460938,2.928515625,1.981054688,0.081787132,2.842382813,1.119726563,-0.313739112,"megarhyncha"
"16",4.8775866735177,1.05797373652992,-0.0856526697507428,16,"syma_megarhyncha_167059_44k.wav",5,0.758594487,1.69852309,0.610396872,1.338826632,1.255767963,2.323665129,1.067897165,4.378633848,24.79847048,0.841127059,0.286006143,1.338826632,1.69852309,1.387869916,0.175,2.594117647,1.484134615,1.205859375,2.928515625,1.72265625,0.15234375,2.928515625,1.291992188,-2.157309953,"megarhyncha"
"17",6.58886107063307,-5.48874499725327,-0.0711049543745668,17,"syma_megarhyncha_167059_44k.wav",6,1.517665165,1.475295777,0.320493891,1.388797364,1.349258649,1.452718287,0.103459638,4.867827679,28.62345136,0.772348626,0.160688368,1.390115321,1.475295777,1.262756411,0.1743083,2.594117647,1.44570613,1.205859375,1.550390625,0.34453125,0.062015504,1.378125,1.378125,0,"megarhyncha"
"18",6.89126589005944,-1.46797231659343,1.30879114178069,18,"syma_megarhyncha_167059_44k.wav",7,2.141021489,1.455644105,0.309218902,1.346180799,1.213501518,1.682083625,0.468582107,2.915345226,14.87763271,0.894697521,0.255808309,1.293389395,1.455644105,1.242598593,0.182231405,2.321052632,1.274672002,0.947460938,2.153320313,1.205859375,0.043325527,2.153320313,1.205859375,-0.442527524,"megarhyncha"
