"","value","parameter"
"188",1931912.91668781,"nTor"
"189",1890282.69115346,"nTor"
"190",1873895.32179463,"nTor"
"191",1957496.31986257,"nTor"
"192",1895929.30516105,"nTor"
"193",1919653.52843195,"nTor"
"194",1901699.96045873,"nTor"
"195",1911118.41766725,"nTor"
"196",1881232.86560155,"nTor"
"197",1936099.70279373,"nTor"
"198",1889710.4441063,"nTor"
"199",1867704.49148903,"nTor"
"200",1982311.39873106,"nTor"
