"","value","parameter"
"122",1.16594031105785,"Nm_tor_meg"
"123",1.14406909448232,"Nm_tor_meg"
"124",1.14337819117596,"Nm_tor_meg"
"125",1.14287061211682,"Nm_tor_meg"
"126",1.12449647644484,"Nm_tor_meg"
"127",1.16778322628598,"Nm_tor_meg"
"128",1.14560163290876,"Nm_tor_meg"
"129",1.13223889952778,"Nm_tor_meg"
"130",1.13830231304316,"Nm_tor_meg"
"131",1.13617883936564,"Nm_tor_meg"
"132",1.14901543617516,"Nm_tor_meg"
"133",1.16107406691067,"Nm_tor_meg"
"134",1.13875815361522,"Nm_tor_meg"
"135",1.17153440210826,"Nm_tor_meg"
"136",1.15083267524435,"Nm_tor_meg"
"137",1.12599963763343,"Nm_tor_meg"
"138",1.1525174628308,"Nm_tor_meg"
"139",1.14733272945015,"Nm_tor_meg"
"140",1.12290937378965,"Nm_tor_meg"
"141",1.14989755343385,"Nm_tor_meg"
"142",1.16528797985584,"Nm_tor_meg"
"143",1.1604072811187,"Nm_tor_meg"
"144",1.14305641603935,"Nm_tor_meg"
"145",1.16487913141413,"Nm_tor_meg"
"146",1.14490002157536,"Nm_tor_meg"
"147",1.15052611334726,"Nm_tor_meg"
"148",1.13984674308372,"Nm_tor_meg"
"149",1.1296657248381,"Nm_tor_meg"
"150",1.16716144320408,"Nm_tor_meg"
"151",1.12721982499891,"Nm_tor_meg"
"152",1.14364504102307,"Nm_tor_meg"
"153",1.15262244792435,"Nm_tor_meg"
"154",1.17877008177779,"Nm_tor_meg"
"155",1.18284815193014,"Nm_tor_meg"
"156",1.13280191802118,"Nm_tor_meg"
"157",1.15782509846107,"Nm_tor_meg"
"158",1.173962560893,"Nm_tor_meg"
"159",1.18131113245834,"Nm_tor_meg"
"160",1.06271526331616,"Nm_tor_meg"
"161",1.15202996670036,"Nm_tor_meg"
"162",1.16113220188675,"Nm_tor_meg"
"163",1.15666387316316,"Nm_tor_meg"
"164",1.14990869212405,"Nm_tor_meg"
"165",1.17506920632938,"Nm_tor_meg"
"166",1.13165513814248,"Nm_tor_meg"
"167",1.15590414818055,"Nm_tor_meg"
"168",1.16524081656341,"Nm_tor_meg"
"169",1.14880874531055,"Nm_tor_meg"
"170",1.15280508037159,"Nm_tor_meg"
