"","H1","H2","H3","nABBA","nBABA","Dstat","jackEst","SE","Z","tree"
"1241","toro_meek","toro_flav","mega_mega",88965,103805,-0.07698293,-0.07698293,0.002813086,27.36601,"torotoro & megarhyncha C"
"1242","toro_flav","toro_flav","mega_mega",80828,85255,-0.02665535,-0.02665535,0.003380959,7.883961,"torotoro & megarhyncha C"
"1243","toro_toro","toro_flav","mega_mega",180084,173241,0.01936744,0.01936744,0.002253306,8.595121,"torotoro & megarhyncha C"
"1244","toro_flav","toro_flav","mega_mega",93210,231405,-0.4257197,-0.4257197,0.002837087,150.0552,"torotoro & megarhyncha C"
"1245","toro_meek","toro_flav","mega_mega",228112,227645,0.001024669,0.001024669,0.00215248,0.4760411,"torotoro & megarhyncha C"
"1246","toro_tent","toro_meek","mega_mega",95564,85099,0.05792553,0.05792553,0.00299276,19.35522,"torotoro & megarhyncha C"
"1247","toro_meek","toro_meek","mega_mega",43198,45660,-0.02770713,-0.02770713,0.003760278,7.368372,"torotoro & megarhyncha C"
"1248","toro_flav","toro_meek","mega_mega",60607,56729,0.03305039,0.03305039,0.003693382,8.948541,"torotoro & megarhyncha C"
"1249","toro_toro","toro_meek","mega_mega",129803,118020,0.04754603,0.04754603,0.002563136,18.54994,"torotoro & megarhyncha C"
"1250","toro_flav","toro_meek","mega_mega",69893,158632,-0.388312,-0.388312,0.003031704,128.0838,"torotoro & megarhyncha C"
"1251","toro_meek","toro_meek","mega_mega",163129,153299,0.03106552,0.03106552,0.002398014,12.95469,"torotoro & megarhyncha C"
"1252","toro_flav","toro_meek","mega_mega",95112,85618,0.0525314,0.0525314,0.002961682,17.73701,"torotoro & megarhyncha C"
"1378","toro_tent","toro_meek","mega_mega",101478,86986,0.07689532,0.07689532,0.002920855,26.32631,"torotoro & megarhyncha C"
"1379","toro_tent","toro_flav","mega_mega",81751,79139,0.01623469,0.01623469,0.003457027,4.696143,"torotoro & megarhyncha C"
"1380","toro_meek","toro_flav","mega_mega",56588,63552,-0.05796571,-0.05796571,0.003544725,16.35267,"torotoro & megarhyncha C"
"1381","toro_tent","toro_toro","mega_mega",168547,175497,-0.0202009,-0.0202009,0.002218799,9.104432,"torotoro & megarhyncha C"
"1382","toro_meek","toro_toro","mega_mega",121556,138452,-0.06498262,-0.06498262,0.002471515,26.29262,"torotoro & megarhyncha C"
"1383","toro_flav","toro_toro","mega_mega",108090,112310,-0.01914701,-0.01914701,0.002941507,6.50925,"torotoro & megarhyncha C"
"1384","toro_tent","toro_flav","mega_mega",170177,111294,0.2091974,0.2091974,0.00373037,56.07953,"torotoro & megarhyncha C"
"1385","toro_meek","toro_flav","mega_mega",122816,88679,0.1614081,0.1614081,0.004040854,39.94405,"torotoro & megarhyncha C"
"1386","toro_flav","toro_flav","mega_mega",107970,71757,0.2014889,0.2014889,0.004188959,48.1,"torotoro & megarhyncha C"
"1387","toro_toro","toro_flav","mega_mega",182642,126035,0.1833859,0.1833859,0.003002678,61.0741,"torotoro & megarhyncha C"
"1388","toro_tent","toro_meek","mega_mega",223832,221847,0.004453878,0.004453878,0.002160308,2.061687,"torotoro & megarhyncha C"
"1389","toro_meek","toro_meek","mega_mega",160109,173716,-0.04076088,-0.04076088,0.00235709,17.29288,"torotoro & megarhyncha C"
"1390","toro_flav","toro_meek","mega_mega",140437,140885,-0.001592481,-0.001592481,0.002774178,0.5740371,"torotoro & megarhyncha C"
"1391","toro_toro","toro_meek","mega_mega",176953,167084,0.02868587,0.02868587,0.002030807,14.12535,"torotoro & megarhyncha C"
"1392","toro_flav","toro_meek","mega_mega",165433,232281,-0.1680806,-0.1680806,0.002907174,57.8158,"torotoro & megarhyncha C"
"1393","toro_tent","toro_flav","mega_mega",83796,84360,-0.003354028,-0.003354028,0.002793324,1.20073,"torotoro & megarhyncha C"
"1394","toro_meek","toro_flav","mega_mega",86962,100969,-0.07453267,-0.07453267,0.002914502,25.57304,"torotoro & megarhyncha C"
"1395","toro_flav","toro_flav","mega_mega",78651,81969,-0.02065745,-0.02065745,0.003378808,6.113828,"torotoro & megarhyncha C"
"1396","toro_toro","toro_flav","mega_mega",175336,169836,0.01593409,0.01593409,0.00216952,7.344522,"torotoro & megarhyncha C"
"1397","toro_flav","toro_flav","mega_mega",110921,169636,-0.2092801,-0.2092801,0.003642679,57.45225,"torotoro & megarhyncha C"
"1398","toro_meek","toro_flav","mega_mega",221365,223905,-0.005704404,-0.005704404,0.002078387,2.744631,"torotoro & megarhyncha C"
"1399","toro_tent","toro_meek","mega_mega",92655,83492,0.05201905,0.05201905,0.003046322,17.07602,"torotoro & megarhyncha C"
"1400","toro_meek","toro_meek","mega_mega",41558,44517,-0.034377,-0.034377,0.003868868,8.885543,"torotoro & megarhyncha C"
"1401","toro_flav","toro_meek","mega_mega",58456,54317,0.03670205,0.03670205,0.003666425,10.01031,"torotoro & megarhyncha C"
"1402","toro_toro","toro_meek","mega_mega",126822,115679,0.04595033,0.04595033,0.002585877,17.76973,"torotoro & megarhyncha C"
"1403","toro_flav","toro_meek","mega_mega",81520,115604,-0.1729064,-0.1729064,0.003962456,43.63616,"torotoro & megarhyncha C"
"1404","toro_meek","toro_meek","mega_mega",158118,151063,0.02281835,0.02281835,0.002422813,9.418124,"torotoro & megarhyncha C"
"1405","toro_flav","toro_meek","mega_mega",92343,83390,0.05094661,0.05094661,0.003125393,16.30086,"torotoro & megarhyncha C"
"1531","toro_tent","toro_meek","mega_sella",105454,91598,0.07031646,0.07031646,0.002918283,24.09515,"torotoro & megarhyncha H"
"1532","toro_tent","toro_flav","mega_sella",86205,83982,0.0130621,0.0130621,0.003458577,3.776727,"torotoro & megarhyncha H"
"1533","toro_meek","toro_flav","mega_sella",59551,66307,-0.05367954,-0.05367954,0.003506381,15.3091,"torotoro & megarhyncha H"
