"","H1","H2","H3","nABBA","nBABA","Dstat","jackEst","SE","Z","tree"
"2144","toro_tent","toro_flav","mega_wellsi",45230,42281,0.03369862,0.03369862,0.004158395,8.103757,"torotoro & megarhyncha W"
"2145","toro_meek","toro_flav","mega_wellsi",32875,34878,-0.02956327,-0.02956327,0.004470509,6.612953,"torotoro & megarhyncha W"
"2146","toro_tent","toro_toro","mega_wellsi",85039,89539,-0.02577644,-0.02577644,0.002938367,8.77237,"torotoro & megarhyncha W"
"2147","toro_meek","toro_toro","mega_wellsi",63444,72978,-0.06988609,-0.06988609,0.003216809,21.72529,"torotoro & megarhyncha W"
"2148","toro_flav","toro_toro","mega_wellsi",55866,61108,-0.04481338,-0.04481338,0.003570539,12.55087,"torotoro & megarhyncha W"
"2149","toro_tent","toro_flav","mega_wellsi",81299,61013,0.142546,0.142546,0.004197877,33.95668,"torotoro & megarhyncha W"
"2150","toro_meek","toro_flav","mega_wellsi",60485,50572,0.08926047,0.08926047,0.004370337,20.42416,"torotoro & megarhyncha W"
"2151","toro_flav","toro_flav","mega_wellsi",53115,42395,0.1122396,0.1122396,0.00462609,24.2623,"torotoro & megarhyncha W"
"2152","toro_toro","toro_flav","mega_wellsi",88160,67496,0.1327543,0.1327543,0.003583329,37.04775,"torotoro & megarhyncha W"
"2153","toro_tent","toro_meek","mega_wellsi",111675,112502,-0.003689049,-0.003689049,0.002751515,1.340734,"torotoro & megarhyncha W"
"2154","toro_meek","toro_meek","mega_wellsi",82511,90869,-0.04820625,-0.04820625,0.003017916,15.97336,"torotoro & megarhyncha W"
"2155","toro_flav","toro_meek","mega_wellsi",72491,75434,-0.01989522,-0.01989522,0.003253924,6.114223,"torotoro & megarhyncha W"
"2156","toro_toro","toro_meek","mega_wellsi",87683,82721,0.02911903,0.02911903,0.002797937,10.40732,"torotoro & megarhyncha W"
"2157","toro_flav","toro_meek","mega_wellsi",87715,111177,-0.1179635,-0.1179635,0.003287773,35.87946,"torotoro & megarhyncha W"
"2158","toro_tent","toro_flav","mega_wellsi",44551,45242,-0.007695477,-0.007695477,0.003874839,1.986012,"torotoro & megarhyncha W"
"2159","toro_meek","toro_flav","mega_wellsi",46804,54047,-0.07181882,-0.07181882,0.003763416,19.08341,"torotoro & megarhyncha W"
"2160","toro_flav","toro_flav","mega_wellsi",41842,45784,-0.04498665,-0.04498665,0.00394726,11.39693,"torotoro & megarhyncha W"
"2161","toro_toro","toro_flav","mega_wellsi",89161,85833,0.01901779,0.01901779,0.002851343,6.669768,"torotoro & megarhyncha W"
"2162","toro_flav","toro_flav","mega_wellsi",60843,81563,-0.1454995,-0.1454995,0.004082061,35.64363,"torotoro & megarhyncha W"
"2163","toro_meek","toro_flav","mega_wellsi",112146,111857,0.001290161,0.001290161,0.002668281,0.4835177,"torotoro & megarhyncha W"
"2164","toro_tent","toro_meek","mega_wellsi",49755,45020,0.04996043,0.04996043,0.003961009,12.61306,"torotoro & megarhyncha W"
"2165","toro_meek","toro_meek","mega_wellsi",24414,25456,-0.02089433,-0.02089433,0.004894631,4.268825,"torotoro & megarhyncha W"
"2166","toro_flav","toro_meek","mega_wellsi",32771,31829,0.01458204,0.01458204,0.004492545,3.245831,"torotoro & megarhyncha W"
"2167","toro_toro","toro_meek","mega_wellsi",66859,60436,0.0504576,0.0504576,0.003282951,15.36958,"torotoro & megarhyncha W"
"2168","toro_flav","toro_meek","mega_wellsi",46675,56930,-0.09898171,-0.09898171,0.004349927,22.7548,"torotoro & megarhyncha W"
"2169","toro_meek","toro_meek","mega_wellsi",82895,77917,0.0309554,0.0309554,0.003134021,9.877216,"torotoro & megarhyncha W"
"2170","toro_flav","toro_meek","mega_wellsi",50197,44946,0.05519061,0.05519061,0.00391955,14.08085,"torotoro & megarhyncha W"
"2296","toro_tent","toro_meek","ochr",42218,37516,0.05897108,0.05897108,0.004336853,13.59767,"torotoro & ochracea"
"2297","toro_tent","toro_flav","ochr",36132,34460,0.0236854,0.0236854,0.004842256,4.891398,"torotoro & ochracea"
"2298","toro_meek","toro_flav","ochr",26037,27843,-0.03351893,-0.03351893,0.00506119,6.622737,"torotoro & ochracea"
"2299","toro_tent","toro_toro","ochr",71069,67597,0.02503858,0.02503858,0.003206459,7.808796,"torotoro & ochracea"
"2300","toro_meek","toro_toro","ochr",52461,53650,-0.01120525,-0.01120525,0.003401847,3.293872,"torotoro & ochracea"
"2301","toro_flav","toro_toro","ochr",47117,45235,0.02037855,0.02037855,0.003920379,5.198107,"torotoro & ochracea"
"2302","toro_tent","toro_flav","ochr",60189,48928,0.1032012,0.1032012,0.004311951,23.93375,"torotoro & ochracea"
"2303","toro_meek","toro_flav","ochr",43918,39144,0.05747514,0.05747514,0.004656555,12.34285,"torotoro & ochracea"
"2304","toro_flav","toro_flav","ochr",39531,33105,0.08846853,0.08846853,0.004825141,18.33491,"torotoro & ochracea"
"2305","toro_toro","toro_flav","ochr",63202,56857,0.05284902,0.05284902,0.003928784,13.45175,"torotoro & ochracea"
"2306","toro_tent","toro_meek","ochr",92631,83589,0.05131086,0.05131086,0.002864183,17.91466,"torotoro & ochracea"
"2307","toro_meek","toro_meek","ochr",67707,65298,0.0181121,0.0181121,0.003176402,5.702081,"torotoro & ochracea"
"2308","toro_flav","toro_meek","ochr",60268,54961,0.04605611,0.04605611,0.003522467,13.07496,"torotoro & ochracea"
"2309","toro_toro","toro_meek","ochr",71977,67521,0.03194311,0.03194311,0.003088817,10.34154,"torotoro & ochracea"
"2310","toro_flav","toro_meek","ochr",73082,77953,-0.0322508,-0.0322508,0.003472655,9.287073,"torotoro & ochracea"
"2311","toro_tent","toro_flav","ochr",37008,37186,-0.002399116,-0.002399116,0.004242743,0.5654634,"torotoro & ochracea"
"2312","toro_meek","toro_flav","ochr",37266,42157,-0.06158166,-0.06158166,0.004274397,14.4071,"torotoro & ochracea"
"2313","toro_flav","toro_flav","ochr",34569,36171,-0.02264631,-0.02264631,0.004661356,4.858309,"torotoro & ochracea"
"2314","toro_toro","toro_flav","ochr",68192,71463,-0.023422,-0.023422,0.003162291,7.406658,"torotoro & ochracea"
"2315","toro_flav","toro_flav","ochr",48760,60160,-0.104664,-0.104664,0.004249816,24.62788,"torotoro & ochracea"
"2316","toro_meek","toro_flav","ochr",83163,92819,-0.05486925,-0.05486925,0.002842472,19.30336,"torotoro & ochracea"
"2317","toro_tent","toro_meek","ochr",38990,36086,0.0386808,0.0386808,0.004476788,8.640303,"torotoro & ochracea"
"2318","toro_meek","toro_meek","ochr",19940,20949,-0.02467656,-0.02467656,0.005627253,4.385188,"torotoro & ochracea"
"2319","toro_flav","toro_meek","ochr",26023,25307,0.01394896,0.01394896,0.005120002,2.724404,"torotoro & ochracea"
"2320","toro_toro","toro_meek","ochr",49486,49928,-0.004446054,-0.004446054,0.003540789,1.255668,"torotoro & ochracea"
"2321","toro_flav","toro_meek","ochr",36677,41817,-0.06548271,-0.06548271,0.00456306,14.35061,"torotoro & ochracea"
"2322","toro_meek","toro_meek","ochr",60140,63813,-0.0296322,-0.0296322,0.003302969,8.971382,"torotoro & ochracea"
"2323","toro_flav","toro_meek","ochr",39116,35969,0.0419125,0.0419125,0.004511325,9.290507,"torotoro & ochracea"
"2340","mega_mega","mega_mega","ochr",68922,66666,0.01663864,0.01663864,0.003100993,5.365584,"ochracrea & megarhyncha C"
"2349","mega_mega","mega_sella","ochr",75303,69068,0.04318734,0.04318734,0.003209526,13.45599,"ochracea & megarhyncha H"
"2350","mega_mega","mega_sella","ochr",70753,66955,0.0275801,0.0275801,0.003266585,8.443097,"ochracea & megarhyncha H"
"2359","mega_mega","mega_mega","ochr",70126,66412,0.02720122,0.02720122,0.003235498,8.407119,"ochracrea & megarhyncha C"
"2360","mega_mega","mega_mega","ochr",65854,64565,0.009883529,0.009883529,0.003334369,2.964137,"ochracrea & megarhyncha C"
"2361","mega_sella","mega_mega","ochr",65563,67702,-0.01605073,-0.01605073,0.003044974,5.271219,"ochracea & megarhyncha H"
"2370","mega_mega","mega_mega","ochr",76932,70707,0.04216366,0.04216366,0.003007139,14.02119,"ochracrea & megarhyncha C"
"2371","mega_mega","mega_mega","ochr",72600,68749,0.02724462,0.02724462,0.003053747,8.921703,"ochracrea & megarhyncha C"
"2372","mega_sella","mega_mega","ochr",70320,70760,-0.003118798,-0.003118798,0.003192366,0.976955,"ochracea & megarhyncha H"
"2373","mega_mega","mega_mega","ochr",70159,67830,0.01687816,0.01687816,0.003192741,5.286416,"ochracrea & megarhyncha C"
"2382","mega_mega","mega_sella","ochr",76102,72255,0.02593069,0.02593069,0.003147117,8.239506,"ochracea & megarhyncha H"
"2383","mega_mega","mega_sella","ochr",71978,70000,0.01393174,0.01393174,0.00322776,4.316224,"ochracea & megarhyncha H"
"2384","mega_sella","mega_sella","ochr",72704,75413,-0.0182896,-0.0182896,0.003488263,5.243182,"ochracea & megarhyncha H"
"2385","mega_mega","mega_sella","ochr",69984,70349,-0.002600956,-0.002600956,0.003521955,0.7384979,"ochracea & megarhyncha H"
"2386","mega_mega","mega_sella","ochr",74314,76462,-0.0142463,-0.0142463,0.003163934,4.502717,"ochracea & megarhyncha H"
"2395","mega_mega","mega_wellsi","ochr",37671,41884,-0.05295707,-0.05295707,0.004534595,11.67846,"ochracea & megarhyncha C"
"2396","mega_mega","mega_wellsi","ochr",35500,40823,-0.06974307,-0.06974307,0.004574706,15.24537,"ochracea & megarhyncha C"
"2397","mega_sella","mega_wellsi","ochr",36398,44245,-0.09730541,-0.09730541,0.004401688,22.10638,"ochracea & megarhyncha H"
"2398","mega_mega","mega_wellsi","ochr",35016,41283,-0.08213738,-0.08213738,0.004544595,18.07364,"ochracea & megarhyncha C"
"2399","mega_mega","mega_wellsi","ochr",37160,45104,-0.09656715,-0.09656715,0.00445143,21.69351,"ochracea & megarhyncha C"
"2400","mega_sella","mega_wellsi","ochr",37967,44907,-0.08374158,-0.08374158,0.00478978,17.48339,"ochracea & megarhyncha H"
"2409","mega_mega","mega_sella","ochr",69574,62606,0.05271599,0.05271599,0.003345986,15.75499,"ochracea & megarhyncha H"
"2410","mega_mega","mega_sella","ochr",66049,61203,0.03808192,0.03808192,0.003383766,11.2543,"ochracea & megarhyncha H"
"2411","mega_sella","mega_sella","ochr",65839,64477,0.01045152,0.01045152,0.003203036,3.263003,"ochracea & megarhyncha H"
"2412","mega_mega","mega_sella","ochr",63438,60548,0.02330908,0.02330908,0.003202473,7.278463,"ochracea & megarhyncha H"
"2413","mega_mega","mega_sella","ochr",67972,65961,0.01501497,0.01501497,0.003274568,4.585328,"ochracea & megarhyncha H"
"2414","mega_sella","mega_sella","ochr",61479,57849,0.03042035,0.03042035,0.003785249,8.036553,"ochracea & megarhyncha H"
"2415","mega_wellsi","mega_sella","ochr",40942,32935,0.1083829,0.1083829,0.004678868,23.16433,"ochracea & megarhyncha H"
"2424","mega_mega","mega_wellsi","ochr",41657,47688,-0.06750238,-0.06750238,0.004261154,15.84134,"ochracea & megarhyncha C"
"2425","mega_mega","mega_wellsi","ochr",39100,46236,-0.08362239,-0.08362239,0.004413085,18.94874,"ochracea & megarhyncha C"
"2426","mega_sella","mega_wellsi","ochr",39784,50107,-0.1148391,-0.1148391,0.004267157,26.91232,"ochracea & megarhyncha H"
"2427","mega_mega","mega_wellsi","ochr",39000,46950,-0.09249564,-0.09249564,0.004152581,22.27425,"ochracea & megarhyncha C"
"2428","mega_mega","mega_wellsi","ochr",41085,51383,-0.1113683,-0.1113683,0.004176504,26.66543,"ochracea & megarhyncha C"
"2429","mega_sella","mega_wellsi","ochr",41940,50482,-0.09242388,-0.09242388,0.004534699,20.38148,"ochracea & megarhyncha H"
"2430","mega_wellsi","mega_wellsi","ochr",24172,24753,-0.01187532,-0.01187532,0.005401126,2.198675,"ochracea & megarhyncha W"
"2431","mega_sella","mega_wellsi","ochr",36201,46280,-0.1221978,-0.1221978,0.004320227,28.28505,"ochracea & megarhyncha H"
"2440","mega_mega","mega_wellsi","ochr",40741,47319,-0.07469907,-0.07469907,0.00415383,17.98318,"ochracea & megarhyncha C"
"2441","mega_mega","mega_wellsi","ochr",38106,45583,-0.08934269,-0.08934269,0.004327304,20.64627,"ochracea & megarhyncha C"
"2442","mega_sella","mega_wellsi","ochr",39674,50041,-0.1155548,-0.1155548,0.004255291,27.15556,"ochracea & megarhyncha H"
"2443","mega_mega","mega_wellsi","ochr",38245,46712,-0.09966218,-0.09966218,0.004301883,23.1671,"ochracea & megarhyncha C"
"2444","mega_mega","mega_wellsi","ochr",40715,51059,-0.1127117,-0.1127117,0.004128517,27.30076,"ochracea & megarhyncha C"
"2445","mega_sella","mega_wellsi","ochr",40949,49881,-0.09833755,-0.09833755,0.004441369,22.14127,"ochracea & megarhyncha H"
"2446","mega_wellsi","mega_wellsi","ochr",24345,25148,-0.01622452,-0.01622452,0.005447883,2.978132,"ochracea & megarhyncha W"
"2447","mega_sella","mega_wellsi","ochr",35642,45863,-0.1254033,-0.1254033,0.004615155,27.17207,"ochracea & megarhyncha H"
"2448","mega_wellsi","mega_wellsi","ochr",27217,27396,-0.003277608,-0.003277608,0.005101339,0.6424996,"ochracea & megarhyncha W"
"2449","toro_tent","toro_meek","mega_sella",93220,81709,0.06580384,0.06580384,0.003163661,20.7999,"torotoro & megarhyncha H"
"2450","toro_tent","toro_flav","mega_sella",76708,74696,0.01328895,0.01328895,0.003697563,3.593975,"torotoro & megarhyncha H"
"2451","toro_meek","toro_flav","mega_sella",52583,58445,-0.05279749,-0.05279749,0.003879446,13.60955,"torotoro & megarhyncha H"
"2452","toro_tent","toro_toro","mega_sella",163440,160401,0.009384235,0.009384235,0.002321705,4.041958,"torotoro & megarhyncha H"
"2453","toro_meek","toro_toro","mega_sella",117946,124442,-0.02680001,-0.02680001,0.002458834,10.89948,"torotoro & megarhyncha H"
"2454","toro_flav","toro_toro","mega_sella",105117,101898,0.0155496,0.0155496,0.002897641,5.366296,"torotoro & megarhyncha H"
"2455","toro_tent","toro_flav","mega_sella",156638,104356,0.2003188,0.2003188,0.003914922,51.16801,"torotoro & megarhyncha H"
"2456","toro_meek","toro_flav","mega_sella",112148,81785,0.1565644,0.1565644,0.004210283,37.18619,"torotoro & megarhyncha H"
"2457","toro_flav","toro_flav","mega_sella",99330,66543,0.1976633,0.1976633,0.004334815,45.59901,"torotoro & megarhyncha H"
"2458","toro_toro","toro_flav","mega_sella",164263,122412,0.1459876,0.1459876,0.003381182,43.17651,"torotoro & megarhyncha H"
"2459","toro_tent","toro_meek","mega_sella",219499,202472,0.04035111,0.04035111,0.00209859,19.22773,"torotoro & megarhyncha H"
"2460","toro_meek","toro_meek","mega_sella",157424,156175,0.003982793,0.003982793,0.002353162,1.692528,"torotoro & megarhyncha H"
"2461","toro_flav","toro_meek","mega_sella",138955,127926,0.04132553,0.04132553,0.002734916,15.11035,"torotoro & megarhyncha H"
"2462","toro_toro","toro_meek","mega_sella",170509,158477,0.03657298,0.03657298,0.002123418,17.22364,"torotoro & megarhyncha H"
"2463","toro_flav","toro_meek","mega_sella",163137,209694,-0.1248743,-0.1248743,0.003259381,38.31227,"torotoro & megarhyncha H"
"2464","toro_tent","toro_flav","mega_sella",78767,79880,-0.007015575,-0.007015575,0.002908508,2.412087,"torotoro & megarhyncha H"
"2465","toro_meek","toro_flav","mega_sella",81107,93016,-0.06839418,-0.06839418,0.003145271,21.74509,"torotoro & megarhyncha H"
"2466","toro_flav","toro_flav","mega_sella",73914,76346,-0.01618528,-0.01618528,0.003509214,4.612224,"torotoro & megarhyncha H"
"2467","toro_toro","toro_flav","mega_sella",159433,163794,-0.01349207,-0.01349207,0.002301746,5.861665,"torotoro & megarhyncha H"
"2468","toro_flav","toro_flav","mega_sella",103458,155934,-0.2023038,-0.2023038,0.003847935,52.57466,"torotoro & megarhyncha H"
"2469","toro_meek","toro_flav","mega_sella",201043,219274,-0.04337441,-0.04337441,0.00212894,20.37371,"torotoro & megarhyncha H"
"2470","toro_tent","toro_meek","mega_sella",85129,78394,0.04118687,0.04118687,0.003315992,12.42068,"torotoro & megarhyncha H"
"2471","toro_meek","toro_meek","mega_sella",38199,40659,-0.03119531,-0.03119531,0.004078715,7.648318,"torotoro & megarhyncha H"
"2472","toro_flav","toro_meek","mega_sella",53964,50694,0.03124463,0.03124463,0.003905886,7.99937,"torotoro & megarhyncha H"
"2473","toro_toro","toro_meek","mega_sella",113350,111612,0.007725749,0.007725749,0.002541626,3.039688,"torotoro & megarhyncha H"
"2474","toro_flav","toro_meek","mega_sella",74768,105661,-0.1712197,-0.1712197,0.004165937,41.09993,"torotoro & megarhyncha H"
"2475","toro_meek","toro_meek","mega_sella",141881,148200,-0.02178357,-0.02178357,0.002451241,8.886754,"torotoro & megarhyncha H"
"2476","toro_flav","toro_meek","mega_sella",84800,78022,0.04162828,0.04162828,0.003249856,12.80927,"torotoro & megarhyncha H"
"2602","toro_tent","toro_meek","mega_wellsi",59009,51381,0.06910046,0.06910046,0.003675238,18.80163,"torotoro & megarhyncha W"
"2603","toro_tent","toro_flav","mega_wellsi",49243,47241,0.02074955,0.02074955,0.00425536,4.876098,"torotoro & megarhyncha W"
"2604","toro_meek","toro_flav","mega_wellsi",35578,38597,-0.04070104,-0.04070104,0.004498718,9.047254,"torotoro & megarhyncha W"
"2605","toro_tent","toro_toro","mega_wellsi",94063,99227,-0.02671633,-0.02671633,0.002844644,9.3918,"torotoro & megarhyncha W"
"2606","toro_meek","toro_toro","mega_wellsi",69359,80244,-0.07275924,-0.07275924,0.003067551,23.719,"torotoro & megarhyncha W"
"2607","toro_flav","toro_toro","mega_wellsi",62430,66933,-0.03480903,-0.03480903,0.00349302,9.96531,"torotoro & megarhyncha W"
"2608","toro_tent","toro_flav","mega_wellsi",90064,68317,0.1373081,0.1373081,0.004050058,33.90276,"torotoro & megarhyncha W"
"2609","toro_meek","toro_flav","mega_wellsi",66121,55281,0.08929013,0.08929013,0.004240607,21.05598,"torotoro & megarhyncha W"
"2610","toro_flav","toro_flav","mega_wellsi",59281,46146,0.1245886,0.1245886,0.004468466,27.88173,"torotoro & megarhyncha W"
"2611","toro_toro","toro_flav","mega_wellsi",97914,74166,0.1380056,0.1380056,0.003491348,39.52788,"torotoro & megarhyncha W"
"2612","toro_tent","toro_meek","mega_wellsi",123711,125328,-0.006492959,-0.006492959,0.002708725,2.397054,"torotoro & megarhyncha W"
"2613","toro_meek","toro_meek","mega_wellsi",90329,100353,-0.0525692,-0.0525692,0.002941482,17.87167,"torotoro & megarhyncha W"
"2614","toro_flav","toro_meek","mega_wellsi",80465,83198,-0.01669895,-0.01669895,0.003299298,5.061364,"torotoro & megarhyncha W"
"2615","toro_toro","toro_meek","mega_wellsi",97302,91789,0.02915527,0.02915527,0.002668064,10.9275,"torotoro & megarhyncha W"
"2616","toro_flav","toro_meek","mega_wellsi",96762,123457,-0.1212202,-0.1212202,0.003211836,37.74172,"torotoro & megarhyncha W"
"2617","toro_tent","toro_flav","mega_wellsi",49636,49898,-0.002632266,-0.002632266,0.003683026,0.714702,"torotoro & megarhyncha W"
"2618","toro_meek","toro_flav","mega_wellsi",51560,58943,-0.06681267,-0.06681267,0.003604729,18.53473,"torotoro & megarhyncha W"
"2619","toro_flav","toro_flav","mega_wellsi",47041,49306,-0.02350878,-0.02350878,0.004143327,5.673888,"torotoro & megarhyncha W"
"2620","toro_toro","toro_flav","mega_wellsi",100083,94365,0.02940632,0.02940632,0.002793644,10.52615,"torotoro & megarhyncha W"
"2621","toro_flav","toro_flav","mega_wellsi",68171,89959,-0.1377854,-0.1377854,0.003963495,34.7636,"torotoro & megarhyncha W"
"2622","toro_meek","toro_flav","mega_wellsi",125706,124303,0.005611798,0.005611798,0.002650657,2.117135,"torotoro & megarhyncha W"
"2623","toro_tent","toro_meek","mega_wellsi",54253,49445,0.04636541,0.04636541,0.003886885,11.92868,"torotoro & megarhyncha W"
"2624","toro_meek","toro_meek","mega_wellsi",26031,27591,-0.02909254,-0.02909254,0.004720099,6.163544,"torotoro & megarhyncha W"
"2625","toro_flav","toro_meek","mega_wellsi",35792,34150,0.02347659,0.02347659,0.004538647,5.172598,"torotoro & megarhyncha W"
"2626","toro_toro","toro_meek","mega_wellsi",73363,66259,0.05088023,0.05088023,0.003146467,16.17059,"torotoro & megarhyncha W"
"2627","toro_flav","toro_meek","mega_wellsi",51134,62830,-0.1026289,-0.1026289,0.004295692,23.89112,"torotoro & megarhyncha W"
"2628","toro_meek","toro_meek","mega_wellsi",91239,85399,0.03306197,0.03306197,0.003101505,10.65998,"torotoro & megarhyncha W"
"2629","toro_flav","toro_meek","mega_wellsi",54383,49761,0.04438086,0.04438086,0.003768615,11.77644,"torotoro & megarhyncha W"
"2755","toro_tent","toro_meek","mega_wellsi",58236,50962,0.06661294,0.06661294,0.003775748,17.64232,"torotoro & megarhyncha W"
"2756","toro_tent","toro_flav","mega_wellsi",48590,46483,0.02216192,0.02216192,0.004124345,5.373439,"torotoro & megarhyncha W"
"2757","toro_meek","toro_flav","mega_wellsi",35041,37738,-0.03705739,-0.03705739,0.00439232,8.436861,"torotoro & megarhyncha W"
"2758","toro_tent","toro_toro","mega_wellsi",92511,97576,-0.02664569,-0.02664569,0.002889669,9.221021,"torotoro & megarhyncha W"
"2759","toro_meek","toro_toro","mega_wellsi",68250,78671,-0.07092927,-0.07092927,0.003154945,22.48193,"torotoro & megarhyncha W"
"2760","toro_flav","toro_toro","mega_wellsi",61106,65332,-0.0334235,-0.0334235,0.003638623,9.185754,"torotoro & megarhyncha W"
"2761","toro_tent","toro_flav","mega_wellsi",89768,66668,0.1476642,0.1476642,0.004052042,36.44193,"torotoro & megarhyncha W"
"2762","toro_meek","toro_flav","mega_wellsi",65686,54004,0.09760214,0.09760214,0.004212482,23.16975,"torotoro & megarhyncha W"
"2763","toro_flav","toro_flav","mega_wellsi",58722,45279,0.1292584,0.1292584,0.004473181,28.8963,"torotoro & megarhyncha W"
"2764","toro_toro","toro_flav","mega_wellsi",96901,72518,0.1439213,0.1439213,0.003464315,41.54394,"torotoro & megarhyncha W"
"2765","toro_tent","toro_meek","mega_wellsi",121437,122414,-0.004006545,-0.004006545,0.002788065,1.437034,"torotoro & megarhyncha W"
"2766","toro_meek","toro_meek","mega_wellsi",88574,97399,-0.04745312,-0.04745312,0.003011164,15.75906,"torotoro & megarhyncha W"
"2767","toro_flav","toro_meek","mega_wellsi",78404,81017,-0.01639056,-0.01639056,0.003305457,4.958638,"torotoro & megarhyncha W"
"2768","toro_toro","toro_meek","mega_wellsi",95302,90058,0.02829089,0.02829089,0.002689133,10.52045,"torotoro & megarhyncha W"
"2769","toro_flav","toro_meek","mega_wellsi",94029,121857,-0.1289014,-0.1289014,0.00324758,39.69151,"torotoro & megarhyncha W"
"2770","toro_tent","toro_flav","mega_wellsi",49104,49436,-0.00336919,-0.00336919,0.003636278,0.9265492,"torotoro & megarhyncha W"
"2771","toro_meek","toro_flav","mega_wellsi",51171,58324,-0.06532718,-0.06532718,0.003677267,17.76514,"torotoro & megarhyncha W"
"2772","toro_flav","toro_flav","mega_wellsi",45951,49080,-0.0329261,-0.0329261,0.004112096,8.007133,"torotoro & megarhyncha W"
"2773","toro_toro","toro_flav","mega_wellsi",98241,93040,0.02719036,0.02719036,0.002866504,9.485549,"torotoro & megarhyncha W"
"2774","toro_flav","toro_flav","mega_wellsi",66523,89406,-0.1467527,-0.1467527,0.003892813,37.69837,"torotoro & megarhyncha W"
"2775","toro_meek","toro_flav","mega_wellsi",122757,121574,0.004841792,0.004841792,0.002653151,1.824922,"torotoro & megarhyncha W"
"2776","toro_tent","toro_meek","mega_wellsi",53658,49455,0.04076111,0.04076111,0.003841362,10.61111,"torotoro & megarhyncha W"
"2777","toro_meek","toro_meek","mega_wellsi",26365,27589,-0.02268599,-0.02268599,0.004811065,4.715379,"torotoro & megarhyncha W"
"2778","toro_flav","toro_meek","mega_wellsi",35353,34042,0.01889185,0.01889185,0.004556087,4.146508,"torotoro & megarhyncha W"
"2779","toro_toro","toro_meek","mega_wellsi",72449,65528,0.05016053,0.05016053,0.003298682,15.20623,"torotoro & megarhyncha W"
"2780","toro_flav","toro_meek","mega_wellsi",50324,62748,-0.1098769,-0.1098769,0.004296498,25.5736,"torotoro & megarhyncha W"
"2781","toro_meek","toro_meek","mega_wellsi",89491,84104,0.031032,0.031032,0.003145902,9.864261,"torotoro & megarhyncha W"
"2782","toro_flav","toro_meek","mega_wellsi",53984,49172,0.0466478,0.0466478,0.003812553,12.23532,"torotoro & megarhyncha W"
